condition,epoch,window,observable,k,metric,value
rho2_eta0.5_tau20_eeon,100,exec,jpca,10,shuffle_r2_mean,0.08920858276596606
rho2_eta0.5_tau20_eeon,100,exec,jpca,10,shuffle_r2_std,0.01845731819337235
rho2_eta0.5_tau20_eeon,100,exec,jpca,10,r2_above_shuffle,-0.05009216187203909
rho2_eta0.5_tau20_eeon,100,prep_vs_exec,orthogonality,6,mean_angle_deg,43.26433414291537
rho2_eta0.5_tau20_eeon,100,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta0.5_tau20_eeon,100,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta0.5_tau20_eeon,100,prep_vs_exec,orthogonality,6,z_vs_null,-78.76015435689237
rho2_eta0.5_tau20_eeon,100,prep,cv_stability,6,fold_subspace_angle_deg,58.624490632261086
rho2_eta0.5_tau20_eeon,100,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta0.5_tau20_eeon,100,exec,cv_stability,6,fold_subspace_angle_deg,48.85383267872911
rho2_eta0.5_tau20_eeon,100,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta1_tau20_eeon,0,prep,pr,,participation_ratio,14.11847229391438
rho2_eta1_tau20_eeon,0,exec,pr,,participation_ratio,9.438153901715374
rho2_eta1_tau20_eeon,0,exec,jpca,4,r2_skew,0.0017732149219763516
rho2_eta1_tau20_eeon,0,exec,jpca,4,r2_full,0.013893987126553764
rho2_eta1_tau20_eeon,0,exec,jpca,4,omega_rad_per_bin,0.0017811783518046128
rho2_eta1_tau20_eeon,0,exec,jpca,4,freq_hz,0.02834833392179791
rho2_eta1_tau20_eeon,0,exec,jpca,4,direction_consistency,0.625
rho2_eta1_tau20_eeon,0,exec,jpca,4,mean_tangling,0.08116514189079121
rho2_eta1_tau20_eeon,0,exec,jpca,4,shuffle_r2_mean,0.005302500051561387
rho2_eta1_tau20_eeon,0,exec,jpca,4,shuffle_r2_std,0.002790316312584428
rho2_eta1_tau20_eeon,0,exec,jpca,4,r2_above_shuffle,-0.0035292851295850355
rho2_eta1_tau20_eeon,0,exec,jpca,6,r2_skew,0.003527219267861148
rho2_eta1_tau20_eeon,0,exec,jpca,6,r2_full,0.014329240668470522
rho2_eta1_tau20_eeon,0,exec,jpca,6,omega_rad_per_bin,0.00309856009063862
rho2_eta1_tau20_eeon,0,exec,jpca,6,freq_hz,0.049315115489240766
rho2_eta1_tau20_eeon,0,exec,jpca,6,direction_consistency,0.875
rho2_eta1_tau20_eeon,0,exec,jpca,6,mean_tangling,0.07964858939828955
rho2_eta1_tau20_eeon,0,exec,jpca,6,shuffle_r2_mean,0.014794451908539553
rho2_eta1_tau20_eeon,0,exec,jpca,6,shuffle_r2_std,0.00574643958109104
rho2_eta1_tau20_eeon,0,exec,jpca,6,r2_above_shuffle,-0.011267232640678405
rho2_eta1_tau20_eeon,0,exec,jpca,10,r2_skew,0.0618185203264513
rho2_eta1_tau20_eeon,0,exec,jpca,10,r2_full,0.07853904467945039
rho2_eta1_tau20_eeon,0,exec,jpca,10,omega_rad_per_bin,0.04303077542006932
rho2_eta1_tau20_eeon,0,exec,jpca,10,freq_hz,0.6848560613181262
rho2_eta1_tau20_eeon,0,exec,jpca,10,direction_consistency,0.875
rho2_eta1_tau20_eeon,0,exec,jpca,10,mean_tangling,0.07328392438098938
rho2_eta1_tau20_eeon,0,exec,jpca,10,shuffle_r2_mean,0.07287972966462548
rho2_eta1_tau20_eeon,0,exec,jpca,10,shuffle_r2_std,0.02663985691112238
rho2_eta1_tau20_eeon,0,exec,jpca,10,r2_above_shuffle,-0.011061209338174186
rho2_eta1_tau20_eeon,0,prep_vs_exec,orthogonality,6,mean_angle_deg,36.51734881177661
rho2_eta1_tau20_eeon,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta1_tau20_eeon,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta1_tau20_eeon,0,prep_vs_exec,orthogonality,6,z_vs_null,-91.24054400941915
rho2_eta1_tau20_eeon,0,prep,cv_stability,6,fold_subspace_angle_deg,53.96903216563577
rho2_eta1_tau20_eeon,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta1_tau20_eeon,0,exec,cv_stability,6,fold_subspace_angle_deg,46.17721145004619
rho2_eta1_tau20_eeon,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta1_tau20_eeon,50,prep,pr,,participation_ratio,24.317108703729563
rho2_eta1_tau20_eeon,50,exec,pr,,participation_ratio,15.950255295073
rho2_eta1_tau20_eeon,50,exec,jpca,4,r2_skew,0.002267250264318843
rho2_eta1_tau20_eeon,50,exec,jpca,4,r2_full,0.009776463477058739
rho2_eta1_tau20_eeon,50,exec,jpca,4,omega_rad_per_bin,0.0021492593275516613
rho2_eta1_tau20_eeon,50,exec,jpca,4,freq_hz,0.03420652459662099
rho2_eta1_tau20_eeon,50,exec,jpca,4,direction_consistency,0.875
rho2_eta1_tau20_eeon,50,exec,jpca,4,mean_tangling,0.08775428503519832
rho2_eta1_tau20_eeon,50,exec,jpca,4,shuffle_r2_mean,0.008894439966403368
rho2_eta1_tau20_eeon,50,exec,jpca,4,shuffle_r2_std,0.004509490797318639
rho2_eta1_tau20_eeon,50,exec,jpca,4,r2_above_shuffle,-0.0066271897020845245
rho2_eta1_tau20_eeon,50,exec,jpca,6,r2_skew,0.005326962390329593
rho2_eta1_tau20_eeon,50,exec,jpca,6,r2_full,0.012456987639289485
rho2_eta1_tau20_eeon,50,exec,jpca,6,omega_rad_per_bin,0.0038994919967743156
rho2_eta1_tau20_eeon,50,exec,jpca,6,freq_hz,0.06206234268339175
rho2_eta1_tau20_eeon,50,exec,jpca,6,direction_consistency,1.0
rho2_eta1_tau20_eeon,50,exec,jpca,6,mean_tangling,0.08256814306221254
rho2_eta1_tau20_eeon,50,exec,jpca,6,shuffle_r2_mean,0.029736861878111764
rho2_eta1_tau20_eeon,50,exec,jpca,6,shuffle_r2_std,0.012339656387522694
rho2_eta1_tau20_eeon,50,exec,jpca,6,r2_above_shuffle,-0.02440989948778217
rho2_eta1_tau20_eeon,50,exec,jpca,10,r2_skew,0.05244304919491316
rho2_eta1_tau20_eeon,50,exec,jpca,10,r2_full,0.0606439812177435
rho2_eta1_tau20_eeon,50,exec,jpca,10,omega_rad_per_bin,0.041718234722196525
rho2_eta1_tau20_eeon,50,exec,jpca,10,freq_hz,0.663966327310552
rho2_eta1_tau20_eeon,50,exec,jpca,10,direction_consistency,0.875
rho2_eta1_tau20_eeon,50,exec,jpca,10,mean_tangling,0.09105770465221692
rho2_eta1_tau20_eeon,50,exec,jpca,10,shuffle_r2_mean,0.09565805956855497
rho2_eta1_tau20_eeon,50,exec,jpca,10,shuffle_r2_std,0.023190120583027718
