label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho1.5_eta2_tau20_eeon,1.5,2e-12,0.02,True,0,52.84897588097474,12.211374836498171,84.9459637562419,-0.01600882449894643
rho1.5_eta2_tau20_eeon,1.5,2e-12,0.02,True,50,52.963580883885626,17.45415894617132,84.58175336125927,-0.011503028148156555
rho1.5_eta2_tau20_eeon,1.5,2e-12,0.02,True,100,53.570257665348485,22.321368050312046,84.38409052241228,-0.009834687548287716
rho1.5_eta2_tau40_eeoff,1.5,2e-12,0.04,False,0,53.021833762019035,13.908390037766726,84.29027379908662,-0.017964492047186087
rho1.5_eta2_tau40_eeoff,1.5,2e-12,0.04,False,50,53.000840761392006,23.89606590214027,84.02664285655015,0.007546774897688763
rho1.5_eta2_tau40_eeoff,1.5,2e-12,0.04,False,100,53.7595791817036,29.61532706721481,84.5884637835704,-0.03296036334336497
rho1.5_eta2_tau40_eeon,1.5,2e-12,0.04,True,0,53.021833762019035,13.908390037766726,84.29027379908662,-0.017964492047186087
rho1.5_eta2_tau40_eeon,1.5,2e-12,0.04,True,50,53.186412019967925,24.24152637059402,84.16398840674754,-0.028544686314357623
rho1.5_eta2_tau40_eeon,1.5,2e-12,0.04,True,100,53.82816495040537,29.409483796690424,84.07124924367295,-0.04237714741788352
rho1.5_eta4_tau10_eeoff,1.5,4e-12,0.01,False,0,53.207386565280025,12.105948334604339,84.89006395114146,0.043948310726369566
rho1.5_eta4_tau10_eeoff,1.5,4e-12,0.01,False,50,53.630294295777816,17.550475986472367,84.69756786808496,0.0024345498613567995
rho1.5_eta4_tau10_eeoff,1.5,4e-12,0.01,False,100,53.14542973386319,22.103316215362522,85.10071707458931,-0.025878749552460903
rho1.5_eta4_tau10_eeon,1.5,4e-12,0.01,True,0,53.207386565280025,12.105948334604339,84.89006395114146,0.043948310726369566
rho1.5_eta4_tau10_eeon,1.5,4e-12,0.01,True,50,53.2573689504171,17.699291405059753,83.99102266510006,0.02551796547698852
rho1.5_eta4_tau10_eeon,1.5,4e-12,0.01,True,100,53.23614042659247,21.47730729588887,84.496579113757,-0.008827658465855578
rho1.5_eta4_tau20_eeoff,1.5,4e-12,0.02,False,0,52.69406594078555,14.109904255643539,84.49137397457363,0.007124899720958991
rho1.5_eta4_tau20_eeoff,1.5,4e-12,0.02,False,50,53.368865652231435,23.427092266303458,84.48260668971301,-0.023218297857412
rho1.5_eta4_tau20_eeoff,1.5,4e-12,0.02,False,100,53.55216810108647,26.902055611399447,83.6414213600566,-0.013088565878561442
rho1.5_eta4_tau20_eeon,1.5,4e-12,0.02,True,0,52.69406594078555,14.109904255643539,84.49137397457363,0.007124899720958991
rho1.5_eta4_tau20_eeon,1.5,4e-12,0.02,True,50,53.80829536193846,23.490184338356872,84.13432259912597,-0.016306785146680408
rho1.5_eta4_tau20_eeon,1.5,4e-12,0.02,True,100,53.36886885540579,27.985388146622142,83.81887342041264,0.000455100414096854
rho1.5_eta4_tau40_eeoff,1.5,4e-12,0.04,False,0,52.8939026550738,17.514825676486144,78.26666825795996,-0.0011887547413217264
rho1.5_eta4_tau40_eeoff,1.5,4e-12,0.04,False,50,53.43063460566876,30.6772029081583,81.83178784836149,0.08322034947478561
rho1.5_eta4_tau40_eeoff,1.5,4e-12,0.04,False,100,53.5968275861992,35.40819761757203,81.20694810395119,0.007062287137486203
rho1.5_eta4_tau40_eeon,1.5,4e-12,0.04,True,0,52.8939026550738,17.514825676486144,78.26666825795996,-0.0011887547413217264
rho1.5_eta4_tau40_eeon,1.5,4e-12,0.04,True,50,53.88918158353334,30.69881409448139,80.77953227466517,0.057875396605007054
rho1.5_eta4_tau40_eeon,1.5,4e-12,0.04,True,100,53.381003273759774,34.4929739640419,82.89419868679985,0.0046227141784325465
rho3_eta0.5_tau10_eeoff,3.0,5e-13,0.01,False,0,52.73429567804133,8.861927671341979,84.06945666915277,-0.005647853204943834
rho3_eta0.5_tau10_eeoff,3.0,5e-13,0.01,False,50,52.35870630872671,9.223835529631708,81.56288232024433,-0.034604179849593825
