condition,epoch,window,observable,k,metric,value
seeded,0,exec,jpca,10,r2_above_shuffle,-0.04545796254663981
seeded,0,prep_vs_exec,orthogonality,6,mean_angle_deg,32.858755240768154
seeded,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
seeded,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
seeded,0,prep_vs_exec,orthogonality,6,z_vs_null,-98.00811072335304
seeded,0,prep,cv_stability,6,fold_subspace_angle_deg,45.35716887986772
seeded,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
seeded,0,exec,cv_stability,6,fold_subspace_angle_deg,34.398992573162694
seeded,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
seeded,50,prep,pr,,participation_ratio,7.3736461616885505
seeded,50,exec,pr,,participation_ratio,5.3014351999879015
seeded,50,exec,jpca,4,r2_skew,0.003133495491428384
seeded,50,exec,jpca,4,r2_full,0.010654201810423536
seeded,50,exec,jpca,4,omega_rad_per_bin,0.0023280799238655156
seeded,50,exec,jpca,4,freq_hz,0.037052542779620015
seeded,50,exec,jpca,4,direction_consistency,0.625
seeded,50,exec,jpca,4,mean_tangling,0.0846201591211015
seeded,50,exec,jpca,4,shuffle_r2_mean,0.0045248914201896084
seeded,50,exec,jpca,4,shuffle_r2_std,0.0027183083936265333
seeded,50,exec,jpca,4,r2_above_shuffle,-0.0013913959287612243
seeded,50,exec,jpca,6,r2_skew,0.0046657488771829625
seeded,50,exec,jpca,6,r2_full,0.01256257409815631
seeded,50,exec,jpca,6,omega_rad_per_bin,0.003976612047227054
seeded,50,exec,jpca,6,freq_hz,0.06328974640749671
seeded,50,exec,jpca,6,direction_consistency,0.875
seeded,50,exec,jpca,6,mean_tangling,0.08259630836140194
seeded,50,exec,jpca,6,shuffle_r2_mean,0.014184488469461881
seeded,50,exec,jpca,6,shuffle_r2_std,0.00747264478972663
seeded,50,exec,jpca,6,r2_above_shuffle,-0.009518739592278919
seeded,50,exec,jpca,10,r2_skew,0.03180817691745663
seeded,50,exec,jpca,10,r2_full,0.052873668302911625
seeded,50,exec,jpca,10,omega_rad_per_bin,0.047172198872047065
seeded,50,exec,jpca,10,freq_hz,0.750768862700022
seeded,50,exec,jpca,10,direction_consistency,1.0
seeded,50,exec,jpca,10,mean_tangling,0.07765509426389451
seeded,50,exec,jpca,10,shuffle_r2_mean,0.07138467547516106
seeded,50,exec,jpca,10,shuffle_r2_std,0.026910815256107324
seeded,50,exec,jpca,10,r2_above_shuffle,-0.039576498557704426
seeded,50,prep_vs_exec,orthogonality,6,mean_angle_deg,29.688971200437074
seeded,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
seeded,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
seeded,50,prep_vs_exec,orthogonality,6,z_vs_null,-103.8714908844324
seeded,50,prep,cv_stability,6,fold_subspace_angle_deg,43.247280541754684
seeded,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
seeded,50,exec,cv_stability,6,fold_subspace_angle_deg,33.42252879719139
