condition,epoch,window,observable,k,metric,value
frozen,100,exec,jpca,10,r2_above_shuffle,-0.04475811470929057
frozen,100,prep_vs_exec,orthogonality,6,mean_angle_deg,34.76415538077075
frozen,100,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
frozen,100,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
frozen,100,prep_vs_exec,orthogonality,6,z_vs_null,-94.48355345457388
frozen,100,prep,cv_stability,6,fold_subspace_angle_deg,46.244592828496856
frozen,100,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,100,exec,cv_stability,6,fold_subspace_angle_deg,37.02994962364336
frozen,100,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
istdp_only,0,prep,pr,,participation_ratio,12.591162131681383
istdp_only,0,exec,pr,,participation_ratio,9.037790047591372
istdp_only,0,exec,jpca,4,r2_skew,0.0013640407984580882
istdp_only,0,exec,jpca,4,r2_full,0.016819868578790365
istdp_only,0,exec,jpca,4,omega_rad_per_bin,0.001331053689000923
istdp_only,0,exec,jpca,4,freq_hz,0.021184377412519925
istdp_only,0,exec,jpca,4,direction_consistency,0.75
istdp_only,0,exec,jpca,4,mean_tangling,0.08584461767763892
istdp_only,0,exec,jpca,4,shuffle_r2_mean,0.005403398966526751
istdp_only,0,exec,jpca,4,shuffle_r2_std,0.0022495579064064934
istdp_only,0,exec,jpca,4,r2_above_shuffle,-0.004039358168068663
istdp_only,0,exec,jpca,6,r2_skew,0.0038251475373919375
istdp_only,0,exec,jpca,6,r2_full,0.01767463416825321
istdp_only,0,exec,jpca,6,omega_rad_per_bin,0.0038289394511803647
istdp_only,0,exec,jpca,6,freq_hz,0.060939464045492386
istdp_only,0,exec,jpca,6,direction_consistency,1.0
istdp_only,0,exec,jpca,6,mean_tangling,0.08434723829014916
istdp_only,0,exec,jpca,6,shuffle_r2_mean,0.02218377195981034
istdp_only,0,exec,jpca,6,shuffle_r2_std,0.01240281304738644
istdp_only,0,exec,jpca,6,r2_above_shuffle,-0.018358624422418403
istdp_only,0,exec,jpca,10,r2_skew,0.03818425468184239
istdp_only,0,exec,jpca,10,r2_full,0.05630674541664615
istdp_only,0,exec,jpca,10,omega_rad_per_bin,0.0272250424942047
istdp_only,0,exec,jpca,10,freq_hz,0.43330000888395814
istdp_only,0,exec,jpca,10,direction_consistency,0.875
istdp_only,0,exec,jpca,10,mean_tangling,0.06968132283444652
istdp_only,0,exec,jpca,10,shuffle_r2_mean,0.09112370427449633
istdp_only,0,exec,jpca,10,shuffle_r2_std,0.032243233350686795
istdp_only,0,exec,jpca,10,r2_above_shuffle,-0.05293944959265394
istdp_only,0,prep_vs_exec,orthogonality,6,mean_angle_deg,35.95077302966092
istdp_only,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
istdp_only,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
istdp_only,0,prep_vs_exec,orthogonality,6,z_vs_null,-92.28858045554188
istdp_only,0,prep,cv_stability,6,fold_subspace_angle_deg,52.62424583893655
istdp_only,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
istdp_only,0,exec,cv_stability,6,fold_subspace_angle_deg,45.39763646824386
istdp_only,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
istdp_only,50,prep,pr,,participation_ratio,24.283934855339496
istdp_only,50,exec,pr,,participation_ratio,16.676090540856997
